new_year,country_iso3,constant_2022_USD_billions,variable_name,dataset_name,source
2022,FRA,738776220,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,FRA,338569636.4064,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,FRA,506296660.3401,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,GBR,3205364097.1044,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,GBR,273765902.8755,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,GBR,4137115534.8873,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,GRC,0,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,GRC,191837408.3934,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,HRV,6803695.9032000005,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,HRV,84127529.3985,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,HUN,50069281.2438,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,IND,1947249.9669,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,IRL,26407500,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,IRL,25919036.2473,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ISL,1874662.0872,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ISL,4614553.2363,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ISL,922080.1842,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ITA,327453000,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ITA,54987584.108100004,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ITA,336543783.9876,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,JPN,600000000.2787,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,JPN,615070369.6977,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,JPN,2451999.753,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,KOR,99999999.1662,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,KOR,3580000.3407,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LTU,21126000,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LTU,64434300,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LTU,295763998.9437,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LUX,4225200,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LUX,79239338.4783,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LVA,15844500,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LVA,4744955.5839,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,LVA,311316163.6935,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,MLT,1795710,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NLD,1049308050.3108001,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NLD,620064800.103,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NLD,2623321050,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NOR,304307128.3518,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NOR,161237358.6264,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NOR,398778593.8059,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NZL,4127094.0249,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,NZL,16030809.1377,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,POL,1012874856.3192,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,POL,360987435.3225,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,POL,2394646092.8061,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,PRT,264075000,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,PRT,1815375.1371,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,PRT,49102454.079,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ROU,8471954.8578,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,ROU,3568899.684,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SVK,9506700,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SVK,226612595.8782,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SVN,4942089.684,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SVN,58931980.485,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SWE,208934442.5259,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
