Smry_Ctgry,State,Srvc_Ctgry,Prvdr_ID,Prvdr_Name,Prvdr_City,Prvdr_ZIP,Bene_Dstnct_Cnt,Tot_Epsd_Stay_Cnt,Tot_Srvc_Days,Bene_LE_7_Srvc_Days_Pct,Bene_LE_30_Srvc_Days_Pct,Bene_GE_60_Srvc_Days_Pct,Bene_GE_180_Srvc_Days_Pct,Tot_Chrg_Amt,Tot_Mdcr_Stdzd_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Outlier_Pymt_Amt,Tot_Alowd_Amt,Tot_Coinsrnc_Amt,Bene_MA_Pct,Bene_Dual_Pct,Bene_Rrl_Pct,Bene_Avg_Age,Bene_Male_Pct,Bene_Feml_Pct,Bene_Race_Wht_Pct,Bene_Race_Black_Pct,Bene_Race_API_Pct,Bene_Race_Hspnc_Pct,Bene_Race_Natind_Pct,Bene_Race_Othr_Pct,Bene_Avg_Risk_Scre,Bene_Avg_CC_Cnt,Bene_CC_AF_Pct,Bene_CC_Alzhmr_Pct,Bene_CC_Asthma_Pct,Bene_CC_Cncr_Pct,Bene_CC_CHF_Pct,Bene_CC_CKD_Pct,Bene_CC_COPD_Pct,Bene_CC_Dprssn_Pct,Bene_CC_Dbts_Pct,Bene_CC_Hyplpdma_Pct,Bene_CC_Hyprtnsn_Pct,Bene_CC_IHD_Pct,Bene_CC_Opo_Pct,Bene_CC_RAOA_Pct,Bene_CC_Sz_Pct,Bene_CC_Strok_Pct,Bene_Prmry_Dx_Cncr_Pct,Bene_Prmry_Dx_COPD_Pct,Bene_Prmry_Dx_Rsprtryfailr_Pct,Bene_Prmry_Dx_Dmnt_Pct,Bene_Prmry_Dx_Strok_Pct,Bene_Prmry_Dx_CHF_Pct,Bene_Prmry_Dx_Hyprtnsn_Pct,Bene_Prmry_Dx_Othrcrdvsclr_Pct,Bene_Prmry_Dx_Infctn_Pct,Bene_Prmry_Dx_Ortho_Pct,Bene_Prmry_Dx_Injury_Pct,Bene_Prmry_Dx_Mtr_Nrl_Pct,Bene_Prmry_Dx_Dbts_Pct,Bene_Prmry_Dx_Skn_Pct,Bene_Prmry_Dx_Aftrcre_Pct,Nrsng_Visits_Cnt,PT_Visits_Cnt,OT_Visits_Cnt,SLP_Visits_Cnt,MSW_Visits_Cnt,Aide_Visits_Cnt,Physn_Visits_Cnt,Tot_Nrsng_Mnts,Tot_PT_Mnts,Tot_OT_Mnts,Tot_SLP_Mnts,Tot_MSW_Mnts,Tot_Aide_Mnts,Nrsng_Mnts_Avg_7_Day_Prior_Death,MSW_Mnts_Avg_7_Day_Prior_Death,Aide_Mnts_Avg_7_Day_Prior_Death,Tot_Asmt_Cnt,Asmt_10_Mnts_RV_Thrshld_Pct,Asmt_10_Mnts_RU_Thrshld_Pct,Srvc_Site_Days_Home_Pct,Srvc_Site_Days_Astd_Lvg_Fac_Pct,Srvc_Site_Days_LTCF_Pct,Srvc_Site_Days_SNF_Pct,Srvc_Site_Days_IP_Pct,Srvc_Site_Days_IP_Hospc_Pct,Dschrg_Cmnty_Slfcr_Pct,Dschrg_IP_Pct,Dschrg_HH_Pct,Dschrg_SNF_Pct,Dschrg_IRF_Pct,Dschrg_Hospc_Pct,Dschrg_Death_Pct,Dschrg_Unk_Pct,Dschrg_Hospc_Lv_Pct,Hospc_RHC_Days_Pct,Tot_HH_LUPA_Epsds_Cnt,HHRG_Low_Thrpy_Erly_Epsd_Day_Pct,HHRG_Mdm_Thrpy_Erly_Epsd_Day_Pct,HHRG_Low_Thrpy_Lte_Epsd_Day_Pct,HHRG_Mdm_Thrpy_Lte_Epsd_Day_Pct,HHRG_High_Thrpy_Epsd_Day_Pct,RUG_AAA_Days_Pct,RUG_Rehab_Days_Pct,RUG_Very_High_Rehab_Days_Pct,RUG_Ultra_High_Rehab_Days_Pct,RUG_Clncl_Cmplx_Days_Pct,RUG_Rdcd_Phys_Fnctng_Days_Pct,RUG_Spcl_High_Care_Days_Pct,RUG_Bhvrl_Smptm_Days_Pct,RUG_Extnsv_Srvc_Days_Pct,CMG_Strok_Days_Pct,CMG_Injury_Trma_Days_Pct,CMG_Ortho_Days_Pct,CMG_Arthrts_Days_Pct,CMG_Crdvsclr_Plmnry_Days_Pct,CMG_Nrlgcl_Days_Pct,CMG_Othr_Days_Pct
PROVIDER,VA,SNF,495288,THE WASHINGTON HOUSE,ALEXANDRIA,22311,282,343,9215,0.1,0.48,0.1,NA,5688150.14,4340158.54,4399835.18,NA,5142963.18,743128,*,0.1,0.01,83,0.3,0.7,0.79,0.15,*,*,0,*,1.9,6.5,0.31,0.45,0.16,0.25,0.48,0.44,0.25,0.42,0.34,0.68,**,0.57,0.23,0.61,0.15,0.21,*,*,0,*,*,*,0,0.05,*,*,0.07,*,*,0,0.64,NA,NA,NA,NA,NA,NA,NA,NA,134734,128189,34390,NA,NA,NA,NA,NA,426,0.31,0.48,NA,NA,NA,NA,NA,NA,0.57,0.18,0,NA,NA,0,*,0.05,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.08,0.87,0,0.01,0,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495291,BETH SHOLOM HOME OF VIRGINIA,RICHMOND,23233,129,157,4677,0.09,0.47,0.2,NA,3885811.78,1967888.81,1868464.56,NA,2283148.56,414684,0,0.09,0.03,84,0.23,0.77,0.95,*,*,*,0,0,2,6.5,0.3,0.57,0.09,0.21,0.5,0.47,0.36,0.42,0.33,0.64,**,0.51,0.34,0.66,*,0.09,*,0,*,*,*,*,0,*,0.09,0.36,0.14,*,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,56162,53607,14858,NA,NA,NA,NA,NA,202,0.5,0.52,NA,NA,NA,NA,NA,NA,0.48,0.22,0,NA,NA,0,*,0.07,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.19,0.71,0.01,0,0.04,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495292,LOVINGSTON HEALTH AND REHABILITATION CENTER,LOVINGSTON,22949,72,89,2330,*,0.5,0.15,NA,1245355.61,825422.44,752694.11,NA,936614.11,183920,0,0.5,0.31,78,0.46,0.54,0.74,0.26,0,0,0,0,2.1,6.3,0.24,0.28,*,*,0.61,0.6,0.32,0.39,0.51,0.69,**,0.6,0.24,0.47,*,*,0,*,0,*,*,*,*,*,0.15,*,0.18,0,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,24498,19230,1470,NA,NA,NA,NA,NA,98,0.69,0.85,NA,NA,NA,NA,NA,NA,0.45,0.15,0,NA,NA,0,*,0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.26,0.34,0.25,0.02,0.01,0.12,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495293,BERKSHIRE HEALTH & REHABILITATION CENTER,VINTON,24179,391,506,11461,0.11,0.58,0.11,NA,7122303.03,3980473.14,3636898.09,NA,4457546.09,820648,*,0.32,0.01,76,0.38,0.62,0.94,0.05,*,*,0,*,2.1,6.3,0.21,0.36,0.15,0.14,0.51,0.53,0.36,0.5,0.47,0.68,**,0.57,0.17,0.51,0.13,0.13,*,*,0.05,*,0.06,0.06,*,0.07,0.13,0.13,0.11,0.06,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,131561,105503,21385,NA,NA,NA,NA,NA,584,0.41,0.46,NA,NA,NA,NA,NA,NA,0.5,0.15,0,NA,NA,0,0.04,0.09,NA,NA,NA,NA,NA,NA,NA,NA,0,0.43,0.32,0.17,0.03,0.01,0.04,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495294,PULASKI HLTH & REHAB CNTR,PULASKI,24301,224,282,7781,0.08,0.44,0.16,NA,4784318.83,3008712.64,2523522.46,NA,3204166.46,680644,*,0.42,0.8,76,0.39,0.61,0.93,0.06,0,*,0,*,2.4,7.3,0.24,0.48,0.13,0.13,0.56,0.57,0.58,0.64,0.54,0.72,**,0.72,0.16,0.53,0.21,0.16,*,*,*,*,0.08,*,*,0.06,0.12,0.21,0.17,*,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,96891,74738,20164,NA,NA,NA,NA,NA,367,0.09,0.25,NA,NA,NA,NA,NA,NA,0.48,0.2,0,NA,NA,0,0.04,0.08,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.47,0.26,0.01,0,0.03,0,0.01,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495295,RIVERSIDE HEALTH & REHAB CNTR,DANVILLE,24540,418,562,15067,0.08,0.42,0.18,NA,8399054.28,5304136.28,4271610.9,NA,5572606.9,1300996,0,0.3,0.97,79,0.4,0.6,0.78,0.21,0,*,0,*,2.2,6.7,0.25,0.4,0.12,0.14,0.46,0.56,0.35,0.49,0.49,**,**,0.64,0.2,0.5,0.15,0.21,*,0.03,*,*,0.08,*,*,0.09,0.16,0.09,0.19,0.06,*,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,149262,149360,30905,NA,NA,NA,NA,NA,735,0.81,0.91,NA,NA,NA,NA,NA,NA,0.41,0.23,*,NA,NA,0,0.04,0.09,NA,NA,NA,NA,NA,NA,NA,NA,0,0.29,0.36,0.24,0.02,0.01,0.07,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495296,COURTLAND HEALTH & REHABILITATION CENTER,COURTLAND,23837,98,123,3639,*,0.43,0.22,NA,2129501.02,1301901.58,1068112.02,NA,1408136.02,340024,0,0.4,0.77,77,0.47,0.53,0.61,0.36,*,*,0,*,2.6,6.6,0.34,0.46,0.12,0.13,0.51,0.57,0.24,0.44,0.51,0.67,**,0.57,*,0.68,0.13,0.21,*,*,*,0,*,*,*,*,*,*,0.15,*,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,39591,45711,3261,NA,NA,NA,NA,NA,181,0.21,0.33,NA,NA,NA,NA,NA,NA,0.45,0.11,0,NA,NA,0,*,0.16,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.4,0.32,0.02,0,0.04,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495297,BOWLING GREEN HEALTH & REHABILITATION CENTER,BOWLING GREEN,22427,177,222,7254,0.09,0.37,0.24,NA,4471082.44,2615513.96,2489836.95,NA,3185084.95,695248,0,0.32,0.06,78,0.46,0.54,0.65,0.33,*,*,*,*,2.3,6.5,0.25,0.46,0.19,0.1,0.45,0.59,0.34,0.51,0.51,0.73,**,0.57,0.1,0.47,0.11,0.16,*,0.07,*,0,0.1,0.06,*,0.1,0.16,0.07,0.1,0.06,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,75710,82667,14515,NA,NA,NA,NA,NA,328,0.26,0.35,NA,NA,NA,NA,NA,NA,0.41,0.18,0,NA,NA,0,0.06,0.12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.17,0.35,0.36,0.02,0.01,0.09,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495299,GOLDEN LIVINGCENTER-ELIZABETH ADAM CRUMP,GLEN ALLEN,23060,125,159,5239,0.1,0.31,0.29,NA,2207890.15,2181331.36,2058241.1,NA,2604985.1,546744,*,0.49,0.03,78,0.33,0.67,0.75,0.23,*,0,0,*,2.6,7,0.25,0.65,0.12,0.19,0.5,0.62,0.38,0.59,0.55,0.62,**,0.54,0.17,0.44,0.26,0.22,0,0,0,0,0,0,0,0,*,0,0,*,0,0,**,NA,NA,NA,NA,NA,NA,NA,NA,51544,57113,42613,NA,NA,NA,NA,NA,234,0.5,0.6,NA,NA,NA,NA,NA,NA,0.19,0.19,0,NA,NA,0,*,0.29,NA,NA,NA,NA,NA,NA,NA,NA,0,0.11,0.15,0.73,0.01,0,0.01,0,0,NA,NA,NA,NA,NA,NA,NA
PROVIDER,VA,SNF,495300,HERITAGE HALL KING GEORGE,KING GEORGE,22485,135,192,4340,0.13,0.46,0.14,NA,2562790.07,1696838.46,1405180.75,NA,1794148.75,388968,0,0.44,0.56,76,0.48,0.52,0.76,0.22,*,0,0,*,2.9,6.9,0.28,0.53,*,0.16,0.55,0.64,0.44,0.5,0.55,0.72,**,0.61,0.12,0.37,0.14,0.24,*,*,*,*,*,*,*,*,0.17,0.13,0.08,*,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,52411,49399,12903,NA,NA,NA,NA,NA,199,0.36,0.68,NA,NA,NA,NA,NA,NA,0.28,0.2,*,NA,NA,0,*,0.17,NA,NA,NA,NA,NA,NA,NA,NA,0,0.19,0.23,0.54,0.01,0.01,0.02,0,0,NA,NA,NA,NA,NA,NA,NA
