CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
11700,"Asheville, NC (Metropolitan Statistical Area)",10,Total employment (number of jobs),171956,172486,176331,181752,186248,191577,196267,203879,208191,211901,215601
11700,"Asheville, NC (Metropolitan Statistical Area)",920,        Military,1180,1176,1230,1221,1255,1137,1135,1116,1140,1141,1082
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),74955,73882,74262,78030,80774,85085,88923,90120,92124,93748,95550
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",920,        Military,1010,1025,1049,1029,973,984,934,913,935,947,918
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),1936224,1917337,1962091,2072915,2172516,2273047,2380579,2460237,2584632,2676550,2770951
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",920,        Military,17524,17634,19046,19055,18575,18692,18203,18254,18600,18812,17865
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",10,Total employment (number of jobs),159479,152342,152205,153047,154444,157855,159704,162668,167700,170052,173765
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",920,        Military,718,722,721,658,650,655,640,638,720,790,762
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",10,Total employment (number of jobs),43140,43300,44434,45513,46095,48314,49880,51253,51944,52880,54697
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",920,        Military,887,890,920,897,828,831,816,812,776,760,763
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",10,Total employment (number of jobs),247348,243584,243360,247474,251197,253558,254613,260000,264879,270712,274209
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",920,        Military,12129,11116,11408,10811,11577,11795,11286,12182,11566,11188,11844
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),512913,536269,554727,591053,624671,663975,692327,725886,766659,805105,849746
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",920,        Military,7415,7151,6141,4193,3261,3340,3283,3283,3221,3309,3451
12540,"Bakersfield, CA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",10,Total employment (number of jobs),253759,267697,262789,262890,266806,278216,288670,289487,303568,309279,310380
12540,"Bakersfield, CA (Metropolitan Statistical Area)",920,        Military,7080,7152,6897,6907,6983,6673,6344,5958,5636,5565,5480
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",10,Total employment (number of jobs),1404128,1358484,1339950,1347488,1371332,1394314,1409343,1436116,1466512,1509853,1543762
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",920,        Military,31654,30731,30827,30249,29379,29172,28109,26926,26259,26357,25697
12620,"Bangor, ME (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12620,"Bangor, ME (Metropolitan Statistical Area)",10,Total employment (number of jobs),82886,80019,80228,82174,82635,82741,83203,83642,85931,86803,89410
12620,"Bangor, ME (Metropolitan Statistical Area)",920,        Military,1134,1012,886,850,712,677,762,763,743,718,711
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",10,Total employment (number of jobs),100006,96477,99683,103453,107427,109482,112108,116668,121308,126407,131099
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",920,        Military,1610,1669,1710,1699,1576,1490,1399,1355,1340,1307,1300
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",10,Total employment (number of jobs),327540,336736,346882,354288,362657,374802,384506,389227,402809,412481,422692
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",920,        Military,4007,3947,4303,4582,4238,4165,4089,4023,3985,4014,3771
12980,"Battle Creek, MI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12980,"Battle Creek, MI (Metropolitan Statistical Area)",10,Total employment (number of jobs),69258,71364,72964,73362,75666,78757,77972,80495,78310,75611,75174
12980,"Battle Creek, MI (Metropolitan Statistical Area)",920,        Military,481,467,451,426,390,378,358,341,318,312,310
13020,"Bay City, MI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13020,"Bay City, MI (Metropolitan Statistical Area)",10,Total employment (number of jobs),45908,45846,46227,46432,47608,49673,51133,52171,51665,52077,53512
13020,"Bay City, MI (Metropolitan Statistical Area)",920,        Military,381,370,359,337,302,287,272,259,239,236,238
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),170986,180406,179889,180011,179610,183110,183666,190627,194777,193452,196236
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",920,        Military,1478,1448,1447,1370,1294,1291,1222,1188,1139,1124,1143
13220,"Beckley, WV (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13220,"Beckley, WV (Metropolitan Statistical Area)",10,Total employment (number of jobs),43965,44633,45282,46344,48415,50747,52378,53304,54760,54481,54322
13220,"Beckley, WV (Metropolitan Statistical Area)",920,        Military,811,843,898,862,822,864,849,857,839,855,871
13380,"Bellingham, WA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13380,"Bellingham, WA (Metropolitan Statistical Area)",10,Total employment (number of jobs),73036,74567,77046,78697,82327,83655,86113,88181,89503,91585,93409
13380,"Bellingham, WA (Metropolitan Statistical Area)",920,        Military,681,696,712,714,683,661,648,622,613,624,637
13460,"Bend, OR (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13460,"Bend, OR (Metropolitan Statistical Area)",10,Total employment (number of jobs),45455,46995,48397,51071,54760,57626,60831,64237,66592,70590,74782
13460,"Bend, OR (Metropolitan Statistical Area)",920,        Military,368,383,383,375,359,358,362,369,356,366,386
13740,"Billings, MT (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13740,"Billings, MT (Metropolitan Statistical Area)",10,Total employment (number of jobs),76682,78682,81206,83114,87004,88139,90616,91387,94168,96026,97833
13740,"Billings, MT (Metropolitan Statistical Area)",920,        Military,1009,1012,1004,953,890,864,828,835,824,831,785
13780,"Binghamton, NY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13780,"Binghamton, NY (Metropolitan Statistical Area)",10,Total employment (number of jobs),142457,139936,138396,137687,136661,134001,132577,134726,134427,138052,141139
