Payment group,Description,"Clinical, Functional, and Service Levels",2014 Final HH PPS Case-Mix Weights
21323,"1st and 2nd Episodes, 18 to 19 Therapy Visits",C3F2S3,1.9518716577540107
21331,"1st and 2nd Episodes, 14 to 15 Therapy Visits",C3F3S1,1.626336898395722
21332,"1st and 2nd Episodes, 16 to 17 Therapy Visits",C3F3S2,1.8273172905525847
21333,"1st and 2nd Episodes, 18 to 19 Therapy Visits",C3F3S3,2.0282976827094474
22111,"3rd+ Episodes, 14 to 15 Therapy Visits",C1F1S1,1.2494058229352345
22112,"3rd+ Episodes, 16 to 17 Therapy Visits",C1F1S2,1.3911170528817587
22113,"3rd+ Episodes, 18 to 19 Therapy Visits",C1F1S3,1.5328282828282829
22121,"3rd+ Episodes, 14 to 15 Therapy Visits",C1F2S1,1.3092691622103385
22122,"3rd+ Episodes, 16 to 17 Therapy Visits",C1F2S2,1.4699197860962567
22123,"3rd+ Episodes, 18 to 19 Therapy Visits",C1F2S3,1.6305704099821745
22131,"3rd+ Episodes, 14 to 15 Therapy Visits",C1F3S1,1.4295157456922163
22132,"3rd+ Episodes, 16 to 17 Therapy Visits",C1F3S2,1.5823677956030897
22133,"3rd+ Episodes, 18 to 19 Therapy Visits",C1F3S3,1.7351455733808674
22211,"3rd+ Episodes, 14 to 15 Therapy Visits",C2F1S1,1.3746286393345217
22212,"3rd+ Episodes, 16 to 17 Therapy Visits",C2F1S2,1.5196078431372546
22213,"3rd+ Episodes, 18 to 19 Therapy Visits",C2F1S3,1.6645870469399882
22221,"3rd+ Episodes, 14 to 15 Therapy Visits",C2F2S1,1.4344919786096257
22222,"3rd+ Episodes, 16 to 17 Therapy Visits",C2F2S2,1.5984105763517527
22223,"3rd+ Episodes, 18 to 19 Therapy Visits",C2F2S3,1.7624034462269755
22231,"3rd+ Episodes, 14 to 15 Therapy Visits",C2F3S1,1.5547385620915033
22232,"3rd+ Episodes, 16 to 17 Therapy Visits",C2F3S2,1.7108585858585859
22233,"3rd+ Episodes, 18 to 19 Therapy Visits",C2F3S3,1.8669043374925727
22311,"3rd+ Episodes, 14 to 15 Therapy Visits",C3F1S1,1.54092394533571
22312,"3rd+ Episodes, 16 to 17 Therapy Visits",C3F1S2,1.6991978609625666
22313,"3rd+ Episodes, 18 to 19 Therapy Visits",C3F1S3,1.8574717765894238
22321,"3rd+ Episodes, 14 to 15 Therapy Visits",C3F2S1,1.600787284610814
22322,"3rd+ Episodes, 16 to 17 Therapy Visits",C3F2S2,1.7780748663101604
22323,"3rd+ Episodes, 18 to 19 Therapy Visits",C3F2S3,1.9552881758764111
22331,"3rd+ Episodes, 14 to 15 Therapy Visits",C3F3S1,1.7210338680926918
22332,"3rd+ Episodes, 16 to 17 Therapy Visits",C3F3S2,1.8904486036838979
22333,"3rd+ Episodes, 18 to 19 Therapy Visits",C3F3S3,2.059863339275104
30111,"3rd+ Episodes, 0 to 5 Therapy Visits",C1F1S1,0.4970291146761735
30112,"3rd+ Episodes, 6 Therapy Visits",C1F1S2,0.6475044563279857
30113,"3rd+ Episodes, 7 to 9 Therapy Visits",C1F1S3,0.797979797979798
30114,"3rd+ Episodes, 10 Therapy Visits",C1F1S4,0.9484551396316101
30115,"3rd+ Episodes, 11 to 13 Therapy Visits",C1F1S5,1.0989304812834224
30121,"3rd+ Episodes, 0 to 5 Therapy Visits",C1F2S1,0.6254456327985739
30122,"3rd+ Episodes, 6 Therapy Visits",C1F2S2,0.7622549019607843
30123,"3rd+ Episodes, 7 to 9 Therapy Visits",C1F2S3,0.8989898989898989
30124,"3rd+ Episodes, 10 Therapy Visits",C1F2S4,1.0357248960190137
30125,"3rd+ Episodes, 11 to 13 Therapy Visits",C1F2S5,1.172534165181224
30131,"3rd+ Episodes, 0 to 5 Therapy Visits",C1F3S1,0.6945929887106358
30132,"3rd+ Episodes, 6 Therapy Visits",C1F3S2,0.8415775401069518
30133,"3rd+ Episodes, 7 to 9 Therapy Visits",C1F3S3,0.9885620915032679
30134,"3rd+ Episodes, 10 Therapy Visits",C1F3S4,1.135546642899584
30135,"3rd+ Episodes, 11 to 13 Therapy Visits",C1F3S5,1.2825311942959001
30211,"3rd+ Episodes, 0 to 5 Therapy Visits",C2F1S1,0.5467171717171717
