type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18000,FALSE,18,TJ,1,FALSE,18000,FALSE,,FALSE,7074,6572,7074,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,640853000,FALSE,18,TJ,35212.1,FALSE,640853000,FALSE,0,FALSE,242162859.4,,242162859.4,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3979262.4,FALSE,18,TJ,266.6,FALSE,3979262.4,FALSE,0,FALSE,1493551.154,0,1493551.154,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,208000,FALSE,18,TJ,16,FALSE,208000,FALSE,0,FALSE,152899.292,,152899.292,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1187206385,TRUE,-1,,0,FALSE,,TRUE,0,FALSE,465426641,,465426641,6,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,734481500,FALSE,18,TJ,40343,FALSE,734481500,FALSE,0,FALSE,339040694.2,,339040694.2,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,129400,FALSE,18,TJ,7.04,FALSE,129400,FALSE,,FALSE,111972,,111972,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1252906100,FALSE,18,TJ,68805.85,FALSE,1252906100,FALSE,0,FALSE,351969588,0,351969588,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,324000,FALSE,18,TJ,19,FALSE,324000,FALSE,0,FALSE,114834,106681,114834,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,724,ESP,Spain,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2141390000,FALSE,18,TJ,338484,FALSE,2141390000,FALSE,0,FALSE,533785774.1,,533785774.1,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
